Meryl Streep
Denzel Washington
Leonardo DiCaprio
Viola Davis
Tom Hardy
Frances McDormand
Joaquin Phoenix
Amy Adams
Jake Gyllenhaal
Oscar Isaac
Ryan Gosling
Cate Blanchett
Gary Oldman
Christian Bale
Jessica Chastain
Hugh Jackman
Riz Ahmed
Michael Fassbender
Emma Stone
Steve Carell
Mahershala Ali
Annette Bening
Saoirse Ronan
Lupita Nyong'o
Tom Hanks
Mark Rylance
Sterling K. Brown
Javier Bardem
Ben Mendelsohn
Natalie Portman
Idris Elba
Michael B. Jordan
Benicio Del Toro
Julianne Moore
Octavia Spencer
Brie Larson
Jennifer Lawrence
Ralph Fiennes
Michael Shannon
Margot Robbie
Woody Harrelson
Nicole Kidman
Kyle Chandler
Charlize Theron
Andrew Garfield
David Oyelowo
Chiwetel Ejiofor
Claire Foy
Michael Stuhlbarg
Michelle Williams
Robert Downey Jr
Mark Ruffalo
Tatiana Maslany
Samuel L. Jackson
Alicia Vikander
Josh Brolin
Keri Russell
Carrie Coon
Joel Edgerton
Jesse Plemons
Naomie Harris
Kate Winslet
Sam Rockwell
Bradley Cooper
Michael Keaton
LaKeith Stanfield
Kumail Nanjiani
Tom Cruise
Chris Pine
Matt Damon
Robin Wright
Bryan Cranston
Bob Odenkirk
Sarah Paulson
Reese Witherspoon
Matthew Rhys
Martin Freeman
Marion Cotillard
Daniel Kaluuya
Benedict Cumberbatch
Gina Rodriguez
Will Smith
Tilda Swinton
Paul Dano
Jonah Hill
Ben Foster
Adam Driver
Rachel Weisz
Evan Rachel Wood
Jeffrey Wright
Tom Hiddleston
Hailee Steinfeld
Allison Janney
Taraji P. Henson
Tiffany Haddish
Timothée Chalamet
Lucas Hedges
Janelle Monáe
Letitia Wright
